report_id,date,year,month,division,district,department,service,amount_bdt,amount_bucket,is_high_amount,outcome,location,description,confirmation_count,is_verified,contact_redacted,source_url,scraped_at
391091e2-bbcb-4d2b-a6e2-36a0bb3c7a3f,2026-09-16T12:00:00.000Z,2026,2026-09,Dhaka,,Education Office,Certificate's Information Correction,3000,1001-5000,False,paid,Dhaka,"I needed to correct my name and parents name spelling in my academic document of HSC,SSC,JSC. I have applied but I didn't get approval of my application and application remains pending for several months. Later I tried to communicate with staff from Education Board and the man charged 5000Taka for doing this. Lastly for my urgency I had to pay him 3000 to approve my application.",1,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
b8ae4d95-4f41-4a0e-b0f3-8bf9e29de9ff,2026-09-16T11:00:00.000Z,2026,2026-09,Dhaka,,Other public service,বয়লারের লাইসেন্স নবায়,20000,>10000,True,paid,গাজীপুর,আমি কর্মরত প্রতিষ্ঠানের একটি বয়লারে লাইসেন্স নবায়নে কিছু কাগজপত্র নিয়ে জটিলতা তৈরি করে এবং ২০ হাজার টাকার মাধ্যমে তা দফারফা করা হয়। প্রতিবারই বিভিন্ন খুঁটিনাটি বিষয় নিয়ে ইস্যু তৈরি করে এবং তার টাকার মাধ্যমে সমাধান করা হয়। না হলে বিভিন্ন রকমের হয়রানি করে।,1,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
b09ca5c8-6c8a-4043-bcd9-85c160ffa1e8,2026-09-16T10:00:00.000Z,2026,2026-09,Dhaka,,Customs Office,বিদেশ থেকে আশা ওষুধ আটক,10000,5001-10000,False,paid,ঢাকা,"আমার বড় ভাই আমেরিকা থেকে আম্মার জন্য পোস্টঅফিস মাধ্যমে কিছু ওষুধ পাঠিয়ে ছিলো, আসতে দেরি হচ্ছিল। মাস খানেক পরে আমার আম্মার নামে চিঠি আসে, ওখানে লিখা ছিলো কাস্টমস, বৈদেশিক ডাক বিভাগ কোনো কারণে ওষুধ গুলো আটক করেছে। পরবর্তীতে যোগাযোগ করার পর আমার কাছে ১০০০০ টাকা দাবি করা হয় আর ৫০০০ এ আমার সাথে রফাদফা হয়। তারপর আমি পোস্টঅফিস থেকে ওষুধ পাই!",2,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
304e170c-b755-455f-bf7d-c036f70f69cb,2026-09-16T10:00:00.000Z,2026,2026-09,Chattogram,,Other public service,পুলিশ ক্লিয়ারেন্স,500,<=1000,False,paid,চৌদ্দগ্রাম কুমিল্লা,নতুন পুলিশ ক্লিয়ারেন্সের জন্য খরচ বাবদ অর্থ দাবী।,1,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
90e6944e-92a9-4994-b8f6-f17d89855951,2026-09-16T09:00:00.000Z,2026,2026-09,Dhaka,,Other public service,General Diary,100,<=1000,False,paid,Dhaka,কামরাঙ্গীরচর থানায় জিডি করতে গেলে ১০০ টাকা অনলাইন চার্জ বাবদ দাবি করে।,1,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
fb700959-c917-4c83-ab56-c8831f76a668,2026-09-16T09:00:00.000Z,2026,2026-09,Rajshahi,,Land Office,নামজারি,14000,>10000,True,refused,"পিপরুল, নলডাাঙ্গা, নাটোরে।",নামজারি করতে দালাল চেয়েছে,0,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
12276153-459d-4d5d-9ac9-acce1e120b01,2026-09-16T09:00:00.000Z,2026,2026-09,Dhaka,,Tax Office,mushak,1000,<=1000,False,paid,mirpur dhaka,every month we have to pay 1000 taka for smooth business operation otherwise they disturb over phone.,1,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
15e81be3-7322-4d9f-9220-a671e6420034,2026-09-16T08:00:00.000Z,2026,2026-09,Rajshahi,,Public Hospital,রোগী পরিবহনের ট্রলি বা হুইল চেয়ার,200,<=1000,False,paid,বগুড়া,সিটি স্ক্যানের জন্য ট্রলি চাইলে বলে দুইশ টাকা দিলে ট্রলিতে রোগী উঠাবে। আবার রোগীর ছুটির পর ট্রলি চাইলে বলে একশ টাকা দিলে ট্রলি পাবেন। বাধ্য হয়ে পরিশোধ করতে হয়েছে।,0,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
b5ffb5a2-a4f0-4868-b52d-47652674fe4c,2026-09-16T07:00:00.000Z,2026,2026-09,Rajshahi,,Education Office,নাম সংশোধন ও সনদপত্রের ভাষা(ইংরেজি) পরিবর্তন ।,3000,1001-5000,False,refused,রাজশাহী,"আমার মাধ্যমিক সনদপত্রের অভিভাবকের নামের ভুল সংশোধন ও ভাষা পরিবর্তনের আবেদন করেছি । সব প্রক্রিয়া ঠিক করেছি । তবুও তারা আমাকে কোন প্রকার সাহায্য করছে না বা আমার কাজে গুরুত্ব দিচ্ছে না । শুধু আমাকেই নয় সবাইকেই সাহায্য করছে না, বরং সবাইকে অবহেলা ও লাঞ্ছনা শিকার হতে হচ্ছে । তারা একজন থেকে আরেক জনের কাছে অর্পণ করছে । প্রত্যেকেই তাদের চাহিদা অনুযায়ী অর্থ আবেদন করছে । তাদের আবেদন প্রত্যাখ্যান করায় তারা অপমান লাঞ্ছনা করা সহ কোন কাজ করছেই না । এটা শুধু আমার সাথেই না সবার সাথেই হচ্ছে ।",28,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
f6ab9061-ba61-4e3d-82e3-69c197239222,2026-09-16T07:00:00.000Z,2026,2026-09,Dhaka,,Other public service,ট্রেড লাইসেন্স নবায়ন,1000,<=1000,False,paid,Gazipur,আমার ট্রেড লাইসেন্স নবায়ন করতে হবে। ট্রেড লাইসেন্স এর ফি দেওয়া হয়েছে অতিরিক্ত আরো ১ হাজার টাকা দেওয়া লাগছে। টাকা না দিলে দেরি হবে।,20,False,False,https://www.ghush.site/,2026-09-16T15:29:15Z
